Line #,Designator,Name,Quantity,Description,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","C1, C3, C4, C5, C6, C7, C8, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C25, C30, C34, C36, C37","2.2 µF","25","CAP CER 2.2UF 35V X7R 0805","TDK","C2012X7R1V225K125AB","Volume Production","Digi-Key","445-7551-1-ND","0.373","9.33"
"","C2, C9, C26, C27, C35","22 µF","5","CAP CER 22UF 16V X5R 0805","Samsung","CL21A226KOQNNNG","Volume Production","Digi-Key","1276-7092-1-ND","0.33","1.65"
"","C10","100 µF","1","CAP ALUM 100UF 20% 25V RADIAL","Panasonic","EEUTA1E101","Volume Production","DigiKey","P19501-ND","",""
"","C24","10000 pF","1","CAP CER 0805 10NF 50V X7R 10%","KEMET","C0805C103K5RECAUTO","Unknown","Digi-Key","399-17885-1-ND","0.25","0.25"
"","C28, C32","4700 pF","2","CAP CER 0805 4.7NF 50V X7R 10%","KEMET","C0805C472K5RECAUTO","Unknown","DigiKey","399-17884-1-ND","",""
"","C29, C33","0.1 µF","2","CAP CER 0.1UF 50V X7R 0805","Yageo","CC0805MRX7R9BB104","Volume Production","Digi-Key","311-4351-1-ND","0.13","0.26"
"","C31","1000 pF","1","CAP CER 0805 1NF 50V ULTRA STABL","KEMET","C0805X102J5HACAUTO","Unknown","Digi-Key","399-16876-1-ND","0.22","0.22"
"","C38","470n X2 275V","1","KEMET R46KI347050M1K","","","","","","",""
"","C39, C40","470µF","2","CAP ALUM 470UF 20% 450V SNAP","Rubycon","450HXG470MEFCSN35X45","Volume Production","Digi-Key","1189-1975-ND","11.39","22.78"
"","C41, C42, C44, C45","4n7","4","B32021A3472","","","","","","",""
"","C43","3.3u/600V","1","","","","","","","",""
"","D1","10A6","1","","","","","","","",""
"","D2","1N4148W-7-F","1","DIODE GEN PURP 100V 300MA SOD123","Diodes","1N4148W-7-F","Unknown","Digi-Key","1N4148W-FDICT-ND","0.17","0.17"
"","DB1","Component_1","1","","","","","","","",""
"","F1","Fuse","1","Fuse holder 04450001N","","","","","","",""
"","IC1","LD1117S50TR","1","IC REG LINEAR 5V 800MA SOT223","STMicroelectronics","LD1117S50TR","Unknown","Digi-Key","497-6447-1-ND","0.66","0.66"
"","IC2","2N7002E-7-F","1","MOSFET N-CH 60V 0.25A SOT23-3","Diodes","2N7002E-7-F","Volume Production","DigiKey","2N7002E-FDICT-ND","",""
"","IPM1","IM323L6G2","1","","","","","","","",""
"","J1, J2, J3, J4","DG128-7.5-03P-14","4","","","","","","","",""
"","J5","goldpin","1","","","","","","","",""
"","J6","FAN","1","","","","","","","",""
"","J10","jumper","1","","","","","","","",""
"","L1, L2","1 mH","2","FIXED IND 1MH 150MA 4.5 OHM SMD","Bourns","SRR6028-102Y","Volume Production","DigiKey","SRR6028-102YCT-ND","",""
"","L3","SC-18-25J","1","https://www.tme.eu/pl/details/sc-18-25j/dlawiki-pierscieniowe/kemet/","","","","","","",""
"","MH3, MH4","Mountinghole_M2,5","2","","","","","","","",""
"","MH5, MH6, MH7, MH8","Mountinghole_M2,5_nonplated","4","","","","","","","",""
"","Q1","STGW30NC60KD","1","","","","","","","",""
"","R1, R2, R3, R4, R5, R6, R13, R20, R21, R22, R29","470 Ohms","11","RES SMD 470 OHM 0.1% 1/4W 0805","Panasonic","ERJ-PB6B4700V","New Product","Digi-Key","P20556CT-ND","0.338","3.72"
"","R7, R10","1 kOhms","2","RES 1K OHM 0.1% 1/10W 0805","Stackpole Electronics","RNCS0805BKE1K00","Volume Production","Digi-Key","RNCS0805BKE1K00CT-ND","0.52","1.04"
"","R8","22 kOhms","1","RES 22K OHM 5% 1/8W 0805","TE Connectivity","CRGCQ0805J22K","Unknown","Digi-Key","A130142CT-ND","0.1","0.1"
"","R9, R25","47 Ohms","2","RES 47 OHM 1% 1/3W 0805","TE Connectivity","CRGP0805F47R","Unknown","Digi-Key","A130461CT-ND","0.22","0.44"
"","R11, R12, R14","150 mOhms","3","RES 150M OHM 1% 2W 2512","KOA Speer","TLRH3AWTTER150F","Volume Production","Digi-Key","2019-TLRH3AWTTER150FCT-ND","1.48","4.44"
